verb,aspect,absolute_frequency,negated imperative,proportion_freq,,,
držet,imperfective,27491,24,,,,
dělat,imperfective,78865,1556,,,,
bát,imperfective,19287,2448,,,,
věřit,imperfective,28787,295,,,,
snažit,imperfective,49902,287,,,,
říkat,imperfective,96714,1210,,,,
poslouchat,imperfective,12335,94,,,,
myslet,imperfective,81448,626,,,,
dát,perfective,110888,297,,,,
podívat,perfective,36090,1,,,,
říci,perfective,177625,0,,,,
zkusit,perfective,11930,0,,,,
prominout,perfective,4132,0,,,,
vzít,perfective,44823,0,,,,
přidat,perfective,17519,0,,,,
počkat,perfective,17888,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
vidět,imperfective,107167,0,,,,chyba: viz
běžet,imperfective,10383,0,,,,
