verb,aspect,absolute_frequency,negated imperative
modlit,imperfective,3249,4
kupovat,imperfective,4601,107
hýbat,imperfective,3017,136
šetřit,imperfective,3572,92
řešit,imperfective,18207,113
trápit,imperfective,5808,186
táhnout,imperfective,7052,1
chovat,imperfective,13524,32
hlídat,imperfective,4316,2
těšit,imperfective,13549,11
naučit,perfective,14008,0
ozdobit,perfective,1490,0
zajít,perfective,6667,1
vyjmout,perfective,1485,0
dodat,perfective,21399,0
sáhnout,perfective,5832,1
vyhnout,perfective,6586,0
navštívit,perfective,9023,0
vsadit,perfective,3411,0
rozmixovat,perfective,684,0
